ingresos_mensuales,cambios_ingreso,tdc_limite_credito,tdc_saldo_actual,porcentaje_utilizacion,riesgo_desempleo,prob_desempleo,variacion_score_crediticio,pago_minimo_mensual,pago_real_ultimo_mes,monto_ultimo_pago,dias_atraso_actual,monto_recuperado,historial_llamadas_realizadas,tasa_respuesta_llamadas,historial_sms_enviados,tasa_lectura_sms,historial_email_enviados,tasa_apertura_email,historial_whatsapp,tasa_respuesta_whatsapp,interaccion_negativa,num_interacciones_recientes,dias_desde_ultima_interaccion,edad,ocupacion,estado_civil,region,antiguedad_laboral,cambio_empleo_reciente,sentimiento_ultima_interaccion,tono_cliente,vulnerabilidad_detectada,nombre_tdc,fecha_ultimo_pago,fecha_ultimo_contacto,pago_30d,solucion_aceptada,resultado_convenio,canal_preferido_cliente,monto_gasto_salud_3m,numero_de_quejas
29448.86,-83.63111863,85648.97879863765,20880.832251587457,0.002437955,0.449892607,0.2955861972027373,-14,827.8329105371549,260.1880694146147,260.1880694146147,0,0,5,0.1686296787499306,9,0.826114054,8,0.7555756292094387,11,0.6825822432154596,0,33,0,28,Empleado,Divorciado,Sur,16,0,2.197792314696625,Neutral,1,Platinum,25/08/2024,18:59.0,1,Pago_a_plazos,Pendiente,WhatsApp,4897.527159462632,0
16959.27,1203.185883,47778.39587983477,19116.48447267349,0.004001073,0.2778851727397322,0.4553910675494343,58,671.9697505159489,169.9498707893527,169.9498707893527,15,5403.872580903989,2,0.4113390942126979,3,0.6402711441702784,2,0.8564790213539389,5,0.5006439336934507,0,12,5,46,Empleado,Casado,Centro,1,0,-0.194324243,Neutral,1,Oro,14/09/2024,18:59.0,0,Reestructuracion,Exitoso,Email,5755.178368549423,1
20748.19,1219.303204367118,57863.800276194816,38223.33534667225,0.006605742,0.01759139,0.1151694649916749,-24,1117.582575294789,2178.563675,2178.563675,0,0,5,0.2229661684630194,4,0.4230477849386492,6,0.4130091191369085,6,0.5176356797814159,1,21,7,34,Empleado,Casado,Sur,71,0,-1.007529323,Neutral,0,Clasica,11/10/2024,18:59.0,1,Prorroga,Fallido,Llamada,4338.611774333135,0
104305.2,-1599.696887,217265.60557275012,168824.6942896561,0.007770429,0.253629977,0.7294173296798797,90,4870.909118898483,6863.6275644401785,6863.6275644401785,15,76996.77539506974,1,0.4777967907115557,0,0.5455530461406919,2,0.4944841482688598,4,0.5437353100101514,0,7,33,38,Empleado,Casado,Sur,75,0,0.091939909,Cooperativo,1,Platinum,10/08/2024,18:59.0,0,Ninguna,Exitoso,Email,5162.634598796545,0
19185.18717138392,180.58535221412276,56346.84503961914,15806.304548731478,0.00280518,0.2810728096766554,0.1425635048796741,-28,640.5110102467785,1447.2201046324367,1447.2201046324367,15,5540.496229680681,2,0.5671642144902104,4,0.8549974477974462,3,0.5924086964289573,4,0.6446941067372248,0,13,4,34,Empleado,Soltero,Sur,40,0,5.751202019,Cansado,0,Oro,26/09/2024,18:59.0,1,Reestructuracion,Fallido,WhatsApp,,0
11111.05,2503.0082243833594,37975.05740705768,-25188.73901,,0.1413053087551378,0.2538187805233949,-62,1096.4816975127108,1240.132624277868,1240.132624277868,45,2855.205836029912,5,0.6862245303213926,5,0.6524311288944984,4,0.127518328,11,0.8919241557343868,0,25,11,64,Empleado,Casado,Occidente,17,0,0.3125393111021423,Molesto,1,Platinum,13/10/2024,18:59.0,0,Reestructuracion,Exitoso,Email,3657.1405047223698,0
6501.7,-189.9581538,12554.513914697263,10067.930976406196,0.008019371,0.089458368,0.4513303805914519,-34,275.9607362079177,225.5259477393568,225.5259477393568,45,1810.7072268610796,4,0.3968364720405343,8,0.5814122897974828,2,0.4966994078836611,6,0.7236865974737934,0,20,8,41,Empleado,Soltero,Occidente,3,0,,Cooperativo,1,Platinum,14/08/2024,18:59.0,0,Pago_a_plazos,Fallido,SMS,543.3796837209217,0
28161.62,-664.3477226,66605.08414734929,41512.21118,0.006232589,0.205922502,0.3911549794924676,-2,1598.4645202553097,3241.8408728441627,3241.8408728441627,0,0,3,0.3172802070420336,5,0.8479504306523382,7,0.3486907211371606,7,0.8417267118325334,1,22,0,29,Empleado,Soltero,Centro,55,0,4.6505958805845085,Cansado,1,Clasica,07/09/2024,18:59.0,1,Pago_a_plazos,Exitoso,SMS,2093.707031,0
45985.61,1725.8013653690607,119692.62785718458,43405.77639203618,0.003626437,0.1156398384699307,0.1753918191878269,-40,1717.013771220924,1867.3659272904315,1867.3659272904315,45,5684.152373292852,1,0.2833359083214232,3,0.9506735706647924,9,0.7808034349870666,11,0.7609510239841982,0,24,8,51,Empleado,Soltero,Centro,51,0,2.1588486793892243,CANSADO,0,Black,01/09/2024,18:59.0,1,Reestructuracion,Pendiente,Llamada,1070.431903,2
19693.32,-3250.467538,43224.76959800309,23922.48008669149,0.005534438,0.1963140243551422,0.1944244908653181,73,842.1981351152263,595.9591428,595.9591428,30,3782.685427345853,1,0.4921920260246572,10,0.9748700144699032,5,0.3162647371068766,4,0.8615257167191277,0,20,11,27,Empleado,Divorciado,Oriente,97,0,1.1556163004577955,Cansado,0,Oro,01/09/2024,18:59.0,1,Ninguna,Exitoso,Email,2394.212456279513,0
49662,-5508.533873,151941.63936255034,105285.65874783431,0.006929349,0.3227700174837655,0.089654483,-82,3329.487750442714,3550.734948606249,3550.734948606249,45,67700.93427065325,3,0.3977323216837481,6,0.4543889230738741,8,0.3043368604365161,5,0.617134724,0,22,35,44,Independiente,Soltero,Oriente,52,0,2.328358606658837,Cansado,0,Platinum,30/08/2024,18:59.0,1,Consolidación,Pendiente,Llamada,817.1569221953602,0
27883.57,720.0649314237559,82832.57353,46946.56626778175,0.005667646,0.1062706086508245,0.2768903113563759,-51,1838.7920288361947,3962.6195014258014,3962.6195014258014,30,12088.209807482386,0,0.3207182236176192,3,0.6291653121952121,3,0.2529882533156968,6,0.9528285527046968,0,12,65,22,Jubilado,Casad0,Norte,70,0,-1.94699608,Cansado,1,Oro,20/10/2024,18:59.0,0,Consolidacion,Exitoso,Llamada,3865.820642689403,1
24395.73,2560.9295392139934,48796.853911903614,23962.89576463563,0.004910746,0.2395526105100061,0.6430265017776291,-97,818.2786267073594,1222.134417537882,1222.134417537882,0,0,2,0.2504980560769917,5,0.5833276230128482,3,0.5113012531167771,5,0.5537206071704864,0,15,4,26,Jubilado,Divorciado,Sur,54,1,1.308773724,Cansado,1,Platinum,10/08/2024,18:59.0,0,Consolidacion,Pendiente,SMS,,1
42347.69,4504.494002083357,117222.05176020278,23357.936991442813,0.001992623,0.3096463999235239,0.2102739429638704,-17,798.1270172300336,215.7441220292974,215.7441220292974,15,7286.898142148518,7,0.1475547723411436,2,0.4853928361838051,4,0.5748690210027605,3,0.8143118566241113,0,16,3,44,Desempleado,Casado,Centro,39,0,-1.033196224,Neutral,0,Clasica,15/09/2024,18:59.0,1,Ninguna,Exitoso,WhatsApp,2459.553852,1
19552.81,490.70761965437447,47456.31348691058,26159.45856829624,0.005512324,0.090219507,0.1710291065370508,13,707.2345243644925,593.6720604906712,593.6720604906712,45,13796.945947036596,0,0.4425687142591553,8,0.7407739792832642,2,0.300804954,7,0.3790929617223865,0,17,4,50,Independiente,Casado,Norte,22,0,0.951739297,Neutral,0,Black,20/09/2024,18:59.0,1,Pago_a_plazos,Exitoso,WhatsApp,758.8554089,0
22651.38,2060.5549385495915,49566.86747633592,21318.645864531787,0.004300987,0.062314875,0.1465922372410379,-47,801.4821761350911,394.30234099244535,394.30234099244535,0,0,3,0.307130019,5,0.3989087302910024,7,0.4643854419056274,7,0.6906217793969037,0,22,1,44,Independiente,Casado,Centro,92,0,0.9823874331911372,Neutral,0,Clasica,31/08/2024,18:59.0,1,Consolidacion,Exitoso,Email,2347.988945219571,0
40219.22,3295.273175850594,130394.70119709562,94519.35732160763,0.007248712,0.1372861902337216,0.4863614932608168,-12,2535.317557080388,8835.091805183229,8835.091805183229,0,0,3,0.3147959593277707,3,0.7042738628524697,2,0.5620717045583322,6,0.5198337687154826,0,14,26,40,Empleado,Soltero,Centro,42,0,3.0384805002871262,Cooperativo,1,Black,12/08/2024,18:59.0,1,Prorroga,Fallido,SMS,1900.082538347105,0
26401.14,78.51441350197909,49975.92732938006,26731.16708,0.005348809,0.1373327687554058,0.1887473585251236,-42,817.5040132665839,2118.8828153652803,2118.8828153652803,45,6285.196380527097,8,0.7496945630112686,5,0.6422594330789528,3,0.3581135341380628,5,0.8724531792927878,1,21,18,38,Independiente,Casado,Centro,20,0,-1.382915414,Molesto,1,Clasica,30/09/2024,18:59.0,0,Congelacion_intereses,Exitoso,Email,3249.026756775539,0
84564.16,-1603.133646,219407.08071071084,67888.39815393054,0.003094175,0.1651506535458309,0.4197672841912273,-3,1941.7192058481191,1831.5837975760955,1831.5837975760955,30,24867.18852731256,5,0.3548181561784492,6,0.5693844840098159,4,0.5947729328703804,5,0.4316022393937478,1,20,17,24,Empleado,Casado,Sur,3,0,2.2845074396029004,Molesto,1,Black,27/08/2024,18:59.0,0,Congelacion_intereses,Exitoso,SMS,736.5637545415364,0
40794.2,-1860.355761,106392.48340062982,88084.57308672849,0.00827921,0.1161763397214998,0.2437217714439658,26,3867.130520822012,6212.929129087333,6212.929129087333,0,0,4,0.4493840090563816,7,0.7791655993192604,6,0.5832835650595255,8,0.5705281242331943,1,25,25,33,Empleado,Viudo,Centro,13,0,-1.586912339,Cansado,0,Oro,19/09/2024,18:59.0,0,Consolidacion,Pendiente,SMS,633.4161559556932,0
39233.58,-736.6442549,108645.94656708043,35880.777544831835,0.003302542,0.1178186925783791,0.4365749436400128,-4,954.5867795165858,267.1954877552107,267.1954877552107,0,0,3,0.5479022788356432,5,0.51702632,5,0.6099908788934006,7,0.9251247656252676,0,20,13,36,Independiente,Divorciado,Oriente,31,0,-2.706364229,Cansado,1,Black,06/08/2024,18:59.0,0,Congelacion_intereses,Pendiente,WhatsApp,2880.8922407290806,0
26115.84,3623.4751685600695,55781.08731496262,23420.073815484346,0.004198569,0.3726495280342867,0.4344550211451569,58,802.1369417714104,1368.2768002291762,1368.2768002291762,15,7499.838372,0,0.2073258043445172,5,0.4934168663457042,1,0.2980337756938209,8,0.587007627,0,14,56,54,Empleado,Divorciado,Sur,12,0,-1.876365387,Cooperativo,1,Platinum,22/10/2024,18:59.0,0,Consolidacion,Pendiente,Llamada,833.4045353457673,1
45472.04,2330.627898493672,149195.66527932114,77943.13669409722,0.005224223,0.2235403459711965,0.3943806617630329,-54,2904.040657517979,4800.234771999332,4800.234771999332,90,46363.82457309199,1,0.519823917,4,0.7896234790150104,7,0.4102080349318703,10,0.7125923619734289,0,22,29,46,Empleado,Divorciado,Centro,10,0,1.919906270929504,Temeroso,1,Clasica,14/10/2024,18:59.0,0,Reestructuracion,Fallido,Llamada,9612.218252,0
22168.67,-546.4982687,76282.71554276434,29816.068400663247,0.003908627,0.3420142995907748,0.1311640968515863,52,1023.3121146956132,908.8109396918844,908.8109396918844,45,12870.935009072138,4,0.277193938,3,0.6354962840545854,7,,12,0.3745531366631101,0,26,1,22,Desempleado,Casado,Norte,29,0,-1.530443238,Cansado,0,Platinum,07/10/2024,18:59.0,0,Reestructuracion,Fallido,SMS,1847.3883969285423,0
31870.2,3113.9624815143898,87108.37373859553,44091.75228920609,0.005061712,0.066193232,0.2836606518900587,-76,1685.917744822948,1095.3746580343666,1095.3746580343666,30,23945.82227020282,3,0.3546290844471252,3,0.5001390907118795,3,0.6013223436000458,2,0.8798354848840295,0,11,16,45,Empleado,Casado,Norte,7,0,-0.870452835,Ansioso,1,Oro,18/10/2024,18:59.0,0,Reestructuracion,Exitoso,SMS,2194.794337,0
15525.27,1131.9414171913884,34705.392159720905,22184.158858238963,0.006392136,0.3386215530409737,0.2394704141589388,27,568.5935920386753,605.6828261442166,605.6828261442166,60,6096.283104284323,3,0.6096695653798603,5,0.7101063173520055,5,0.5158772057551659,2,0.808174925,0,15,2,37,Empleado,Divorciado,Centro,64,0,-1.299759458,Cansado,0,Clasica,04/08/2024,18:59.0,0,Consolidacion,Fallido,WhatsApp,1305.6427057625644,0
50194.71,-542.7829434,165170.96057258223,79149.40345344934,0.004791968,0.073620621,0.3860001687056785,-58,3446.735615840949,4674.938396661132,4674.938396661132,0,0,5,0.487008148,3,0.4630815903493983,5,0.3717493830210048,5,0.6902233942905169,0,18,10,33,Desempleado,Casado,Norte,26,0,-0.04698286,Temeroso,1,Clasica,30/08/2024,18:59.0,0,Ninguna,Exitoso,Email,318.335393,0
32027.9,442.5975081098301,111453.69475862884,79239.24159,0.007109611,0.092984455,0.3179885456851269,-101,2543.2128211122003,3193.5277715156344,3193.5277715156344,30,11257.756062744898,3,0.1782647506681787,2,0.7091907584856405,5,,5,0.6141650098381651,0,15,19,49,Independiente,Viudo,Norte,34,0,-3.765035471,Molesto,1,Oro,29/08/2024,18:59.0,0,Reestructuracion,Pendiente,Llamada,4978.068473761581,0
,1006.4384836132572,270577.32229650946,104521.39112650896,0.003862903,0.09332161,0.3953781611828623,6,3517.863879361821,2602.805715999305,2602.805715999305,90,42960.91602262737,1,0.661919805,7,0.5654375668436428,5,0.1222742329474342,5,0.8319163552001576,1,18,37,54,Empleado,Casado,Norte,6,0,-0.106428409,Cansado,1,Black,23/08/2024,18:59.0,0,Consolidacion,Exitoso,WhatsApp,3657.768540245374,0
113026.66,341.8484452362898,267567.7415,162967.46929567834,0.006090699,0.2571849296485241,0.1933040308696395,-1,5827.168212744009,4291.211814560721,4291.211814560721,0,0,4,0.6432324382203808,7,0.6659363600789521,6,0.4309822519802947,5,0.7752205820004542,0,22,9,53,Empleado,Casado,Centro,15,0,-7.568879568,Neutral,0,Platinum,22/08/2024,18:59.0,0,Reestructuracion,Pendiente,Llamada,4366.802712170261,0
42531.13,4352.559172240537,93620.99061164806,41286.45831112284,0.004409957,0.060002559,0.028577511,-120,1564.1867467489956,3916.892793705433,3916.892793705433,0,0,1,0.1300849794818284,5,0.5386935724144225,2,0.4293152507250913,6,0.5922868873371246,0,14,16,31,Empleado,Casado,Occidente,21,0,-0.435095582,Cansado,0,Black,23/08/2024,18:59.0,1,Pago a plazos,Pendiente,WhatsApp,147.90083760078392,0
28030.69,-374.4179778,57918.47925415816,14971.22539986962,0.002584879,0.2893152302458627,0.3284784665887045,-32,411.8770087692921,856.1160759,856.1160759,30,7455.079244492622,0,0.453085908,4,0.5443240254703633,1,0.4255497736488398,4,0.6944166749606242,0,9,5,38,Desempleado,Viudo,Sur,66,0,-2.468218479,Ansioso,1,Oro,05/08/2024,18:59.0,0,Ninguna,Fallido,SMS,3136.752353192455,0
15250.4,-3456.010853,33541.67451327058,16493.803657784763,0.004917406,0.3205570975010003,0.3177379277442592,-6,533.4132939261145,584.4668808208937,584.4668808208937,30,13193.450744049404,0,0.1406276208256475,4,0.7788533516346778,3,0.4073259736921396,4,0.6798635461794589,1,11,5,45,Empleado,Soltero,Centro,58,1,5.138697215899796,Neutra1,1,Platinum,19/08/2024,18:59.0,1,Pago_a_plazos,Fallido,Llamada,4132.653166337946,0
46297.81,4108.693770695125,101229.91219622796,7835.172118108014,0.000773998,0.054169132,0.3811097123827967,28,289.2988958,287.6098168,287.6098168,15,757.6604874913508,4,0.6300424816754514,3,0.5878211253830307,7,,6,0.5380908839786176,0,20,0,53,Empleado,Casado,Norte,10,0,3.599993991161337,Temeroso,1,Oro,09/10/2024,18:59.0,1,Pago_a_plazos,Fallido,WhatsApp,1855.3421517838997,0
